|2000|,|1430708|,|C00000059|,|Hallmark Cards|,||,||,|  |,|     |,||,|C1400|,06/08/2000,1000.0,|C00341867|,,|C00341867|,|PI|,|J1200|,|A|,|M7 |,|P|,|20035983133|,|24K|,|C1400|,|PAC  |
|2004|,|1293549|,|C00383653|,|Jill Long Thompson Cmte|,|Jill Long Thompson Committee|,|Argos|,|IN|,|46501|,||,|Z1200|,03/31/2004,1000.0,|N00000245|,|D|,|C00365940|,|DL|,|Z1200|,|N|,|M4 |,|P|,|24991175420|,|18K|,|Z1200|,|PAC  |
|2004|,|1293550|,|C00383653|,|Maloney for Congress|,|Maloney For Congress|,|New York|,|NY|,|10128|,||,|Z1200|,03/04/2004,1000.0,|N00000245|,|D|,|C00273169|,|DL|,|Z1200|,|N|,|M4 |,|P|,|24991175421|,|18K|,|Z1200|,|PAC  |
|2004|,|1293552|,|C00383653|,|Pascrell for Congress|,|Pascrell for Congress|,|West Paterson|,|NJ|,|07424|,||,|Z1200|,03/22/2004,1000.0,|N00000245|,|D|,|C00313510|,|DL|,|Z1200|,|N|,|M4 |,|P|,|24991175422|,|18K|,|Z1200|,|PAC  |
|2004|,|1293557|,|C00383653|,|John Kerry for President|,|John Kerry for President Inc|,|Washington|,|DC|,|20002|,||,|Z1200|,03/10/2004,32660.0,|N00000245|,|D|,|C00385070|,|DL|,|Z1200|,|N|,|M4 |,|P|,|24991176442|,|24G|,|Z1200|,|PAC  |
|2004|,|1293559|,|C00383653|,|John Kerry for President|,|John Kerry for President Inc|,|Washington|,|DC|,|20002|,||,|Z1200|,03/10/2004,6385.0,|N00000245|,|D|,|C00385070|,|DL|,|Z1200|,|N|,|M4 |,|P|,|24991176443|,|24G|,|Z1200|,|PAC  |
|2004|,|1410223|,|C00383653|,|John Evans for Senate Cmte|,|John Evans for Senate|,||,|  |,|     |,||,|Z1200|,02/06/2004,200.0,|N00000245|,|D|,|C00194472|,|DL|,|Z1200|,|A|,|M3 |,|P|,|24961300273|,|18K|,|Z1200|,|PAC  |
|2004|,|1498287|,|C00383653|,|Langevin for Congress|,|Langevin for Congress|,|Warwick|,|RI|,|02886|,||,|Z1200|,04/20/2004,1000.0,|N00000245|,|D|,|C00344697|,|DL|,|Z1200|,|A|,|M5 |,|P|,|24961473969|,|18K|,|Z1200|,|PAC  |
|2004|,|1498289|,|C00383653|,|Marty Meehan for Congress Cmte|,|Marty Meehan for Congress|,|North Chelmsford|,|MA|,|01863|,||,|Z1200|,04/14/2004,1000.0,|N00000245|,|D|,|C00270041|,|DL|,|Z1200|,|A|,|M5 |,|P|,|24961473970|,|18K|,|Z1200|,|PAC  |
|2004|,|1498290|,|C00383653|,|Mike Thompson for Congress|,|Mike Thompson for Congress|,|Sacramento|,|CA|,|95841|,||,|Z1200|,04/19/2004,1000.0,|N00000245|,|D|,|C00326363|,|DL|,|Z1200|,|A|,|M5 |,|P|,|24961473971|,|18K|,|Z1200|,|PAC  |
|2004|,|1498292|,|C00383653|,|Sammy Nunez US Senate Cmte|,|Sammy B Nunez US Senate Committee|,|Chalmette|,|LA|,|70043|,||,|Z1200|,04/19/2004,1000.0,|N00000245|,|D|,|C00208884|,|DL|,|Z1200|,|A|,|M5 |,|P|,|24961473974|,|18K|,|Z1200|,|PAC  |
|2004|,|1561481|,|C00383653|,|McCollum for Congress|,|Betty McCollum for Congress|,|Saint Paul|,|MN|,|55114|,||,|Z1200|,05/26/2004,1000.0,|N00000245|,|D|,|C00354688|,|DL|,|Z1200|,|N|,|M6 |,|P|,|24981240282|,|18K|,|Z1200|,|PAC  |
|2004|,|0419616|,|C00382036|,|American Physical Therapy Assn|,|Physical Therapy PAC|,|Alexandria|,|VA|,|22314|,||,|H1700|,07/25/2003,1000.0,|C00382036|,|R|,|C00012880|,|PI|,|J2200|,|N|,|M8 |,|P|,|23991719787|,|18K|,|H1700|,|PAC  |
|2004|,|2021177|,|C00382036|,|Democracy Believers PAC|,|National Republican Congressional|,|Washington|,|DC|,|20003|,||,|J2200|,07/07/2004,5000.0,|C00002931|,|R|,|C00002931|,|RP|,|Z5100|,|N|,|M8 |,|P|,|24962194627|,|24K|,|J2200|,|PAC  |
|2004|,|2357986|,|C00383232|,|Intl Brotherhood of Electrical Workers|,|International Brotherhood of Elect|,|Washington|,|DC|,|20005|,||,|LC150|,07/19/2004,5000.0,|C00383232|,,|C00027342|,|PI|,|J1200|,|N|,|Q3 |,|P|,|24971732377|,|18K|,|LC150|,|PAC  |
|2004|,|2357987|,|C00383232|,|Bricklayers Union|,|International Union of Bricklayers|,|Washington|,|DC|,|20005|,||,|LB100|,08/02/2004,5000.0,|C00383232|,,|C00003632|,|PI|,|J1200|,|N|,|Q3 |,|P|,|24971732377|,|18K|,|LB100|,|PAC  |
|2004|,|2357994|,|C00383232|,|Natl Cmte to Preserve Social Security|,|National Committee to Preserve Soc|,|Washington|,|DC|,|20002|,||,|J7200|,07/20/2004,5000.0,|C00383232|,,|C00172296|,|PI|,|J1200|,|N|,|Q3 |,|P|,|24971732380|,|18K|,|J7200|,|PAC  |
|2004|,|2357995|,|C00383232|,|American College of Emergency Physicians|,|National Emergency Medicine PAC|,|Irving|,|TX|,|75038|,||,|H1100|,07/23/2004,5000.0,|C00383232|,,|C00140061|,|PI|,|J1200|,|N|,|Q3 |,|P|,|24971732380|,|18K|,|H1100|,|PAC  |
|2004|,|2357996|,|C00383232|,|Natl Star Route Mail Contractors Assn|,|National Star Route Mail Contracto|,|Washington|,|DC|,|20003|,||,|X3700|,09/30/2004,1000.0,|C00383232|,,|C00163311|,|PI|,|J1200|,|N|,|Q3 |,|P|,|24971732380|,|18K|,|X3700|,|PAC  |
|2004|,|2357997|,|C00383232|,|National Education Assn|,|NEA Fund for Children & Public Edu|,|Washington|,|DC|,|20036|,||,|L1300|,08/02/2004,5000.0,|C00383232|,,|C00003251|,|PI|,|J1200|,|N|,|Q3 |,|P|,|24971732381|,|18K|,|L1300|,|PAC  |
|2004|,|2357998|,|C00383232|,|New Millennium PAC|,|New Millennium PAC|,|Union City|,|NJ|,|07087|,||,|J2100|,07/23/2004,5000.0,|C00383232|,,|C00349233|,|PI|,|J1200|,|N|,|Q3 |,|P|,|24971732381|,|18K|,|J2100|,|PAC  |
|2004|,|2358004|,|C00383232|,|Securities Industry Assn|,|Securities Industry Association PA|,|Washington|,|DC|,|20005|,||,|F2100|,09/30/2004,2500.0,|C00383232|,,|C00067504|,|PI|,|J1200|,|N|,|Q3 |,|P|,|24971732383|,|18K|,|F2100|,|PAC  |
|2004|,|2358005|,|C00383232|,|Service Employees International Union|,|Service Employees International Un|,|Washington|,|DC|,|20005|,||,|LG300|,08/04/2004,5000.0,|C00383232|,,|C00004036|,|PI|,|J1200|,|N|,|Q3 |,|P|,|24971732383|,|18K|,|LG300|,|PAC  |
|2004|,|2358006|,|C00383232|,|Sheet Metal Workers Union|,|Sheet Metal Workers International|,|Washington|,|DC|,|20006|,||,|LB100|,07/14/2004,5000.0,|C00383232|,,|C00007542|,|PI|,|J1200|,|N|,|Q3 |,|P|,|24971732384|,|18K|,|LB100|,|PAC  |
|2004|,|2358007|,|C00383232|,|Solidarity PAC|,|Solidarity PAC|,|Washington|,|DC|,|20005|,||,|J2100|,07/20/2004,5000.0,|C00383232|,,|C00360388|,|PI|,|J1200|,|N|,|Q3 |,|P|,|24971732384|,|18K|,|J2100|,|PAC  |
|2004|,|2766818|,|C00383232|,|Assn of Professional Flight Attendants|,|Association of Professional Flight|,|Euless|,|TX|,|76040|,||,|LT100|,11/02/2004,250.0,|C00383232|,,|C00246421|,|PI|,|J1200|,|N|,|30G|,|P|,|24991402573|,|18K|,|LT100|,|PAC  |
|2004|,|2766819|,|C00383232|,|Boilermakers Union Local 85|,|Boilermaker Local 85 Federal PAC|,|Rossford|,|OH|,|43460|,||,|LM100|,10/27/2004,1000.0,|C00383232|,,|C00118828|,|PI|,|J1200|,|N|,|30G|,|P|,|24991402573|,|18K|,|LM100|,|PAC  |
|2004|,|2322735|,|C00383307|,|WR Berkley Corp|,|Nebraska Leadership PAC|,|Washington|,|DC|,|20002|,||,|F3400|,10/07/2004,5000.0,|C00366419|,|D|,|C00366419|,|PI|,|J2100|,|N|,|12G|,|P|,|24981345027|,|24K|,|F3400|,|PAC  |
|2004|,|0070669|,|C00383331|,|Louisiana Victory 2002 Fund|,|Republican Party of Louisiana|,|Baton Rouge|,|LA|,|70809|,||,|Z4100|,01/04/2003,100000.0,|C00187450|,|R|,|C00187450|,|RP|,|Z5100|,|N|,|Q1 |,|P|,|23990688526|,|24K|,|Z4100|,|PAC  |
|2004|,|0861381|,|C00383398|,|Triad Strategies|,|HALPAC-Federal|,||,|  |,|     |,||,|K2000|,07/18/2003,1000.0,|C00376038|,|R|,|C00376038|,|PI|,|J2200|,|N|,|YE |,|P|,|24990298003|,|24K|,|K2000|,|PAC  |
|2004|,|2021183|,|C00382036|,|Democracy Believers PAC|,|Team Texas Joint Fundraising Commi|,|Alexandria|,|VA|,|22320|,||,|J2200|,07/19/2004,24000.0,|C00397265|,,|C00397265|,|PU|,|Y0000|,|N|,|M8 |,|P|,|24962194629|,|24K|,|J2200|,|PAC  |
|2004|,|2021184|,|C00382036|,|Democracy Believers PAC|,|Victory 2004|,|Washington|,|DC|,|20002|,||,|J2200|,07/20/2004,1000.0,|C00391110|,|D|,|C00391110|,|DP|,|Z4200|,|N|,|M8 |,|P|,|24962194629|,|24K|,|J2200|,|PAC  |
|2004|,|2753571|,|C00382036|,|Bacardi USA|,|Barcardi-Martini USA Inc. PAC|,|Miami|,|FL|,|33137|,||,|G2820|,12/02/2003,1000.0,|C00382036|,|R|,|C00160838|,|PI|,|J2200|,|A|,|YE |,|P|,|24971948378|,|18K|,|G2820|,|PAC  |
|2004|,|2753572|,|C00382036|,|BellSouth Corp|,|BellSouth FED-PAC|,|Washington|,|DC|,|20036|,||,|C4100|,12/30/2003,1000.0,|C00382036|,|R|,|C00174060|,|PI|,|J2200|,|A|,|YE |,|P|,|24971948378|,|18K|,|C4100|,|PAC  |
|2004|,|2753603|,|C00382036|,|Democracy Believers PAC|,|National Republican Congressional|,|Washington|,|DC|,|20003|,||,|J2200|,04/01/2004,10000.0,|C00002931|,|R|,|C00002931|,|RP|,|Z5100|,|A|,|M5 |,|P|,|24971948490|,|24K|,|J2200|,|PAC  |
|2004|,|2753604|,|C00382036|,|Carpenters & Joiners Union|,|Carpenters' Legis. Improvement Com|,|Washington|,|DC|,|20001|,||,|LB100|,05/21/2004,5000.0,|C00382036|,|R|,|C00001016|,|PI|,|J2200|,|A|,|M6 |,|P|,|24971948496|,|18K|,|LB100|,|PAC  |
|2004|,|2753605|,|C00382036|,|Florida Bankers Assn|,|Florida Bankers Association PAC|,|Tallahassee|,|FL|,|32302|,||,|F1100|,05/21/2004,3000.0,|C00382036|,|R|,|C00012484|,|PI|,|J2200|,|A|,|M6 |,|P|,|24971948496|,|18K|,|F1100|,|PAC  |
|2004|,|2753625|,|C00382036|,|Assn of Trial Lawyers of America|,|Association of Trial Lawyers (ATLA|,|Washington|,|DC|,|20007|,||,|K1100|,06/29/2004,5000.0,|C00382036|,|R|,|C00024521|,|PI|,|J2200|,|A|,|M7 |,|P|,|24971948536|,|18K|,|K1100|,|PAC  |
|2004|,|2753626|,|C00382036|,|Florida Power & Light|,|FPL PAC|,|Juno Beach|,|FL|,|33408|,||,|E1600|,06/29/2004,5000.0,|C00382036|,|R|,|C00064774|,|PI|,|J2200|,|A|,|M7 |,|P|,|24971948536|,|18K|,|E1600|,|PAC  |
|2004|,|2753627|,|C00382036|,|American Hotel & Lodging Assn|,|Hotel PAC|,|Washington|,|DC|,|20005|,||,|T9100|,06/29/2004,1000.0,|C00382036|,|R|,|C00001198|,|PI|,|J2200|,|A|,|M7 |,|P|,|24971948536|,|18K|,|T9100|,|PAC  |
|2004|,|2997604|,|C00382036|,|Democracy Believers PAC|,|Univision Radio-WAQI|,|Coral Gables|,|FL|,|33134|,||,|J2200|,10/19/2004,464.0,|C00391110|,|D|,|C00391110|,|DP|,|Z4200|,|A|,|30G|,|P|,|25990461525|,|24Z|,|J2200|,|PAC  |
|2004|,|2322734|,|C00383307|,|WR Berkley Corp|,|First State PAC|,|Wilmington|,|DE|,|19804|,||,|F3400|,10/07/2004,5000.0,|C00363648|,|D|,|C00363648|,|PI|,|J2100|,|N|,|12G|,|P|,|24981345027|,|24K|,|F3400|,|PAC  |
|2004|,|2322741|,|C00383307|,|WR Berkley Corp|,|Democratic Senatorial Campaign Com|,|Washington|,|DC|,|20002|,||,|F3400|,10/07/2004,10000.0,|C00042366|,|D|,|C00042366|,|DP|,|Z5200|,|N|,|12G|,|P|,|24981345029|,|24K|,|F3400|,|PAC  |
|2004|,|0070668|,|C00383331|,|Louisiana Victory 2002 Fund|,|National Republican Senatorial Com|,|Washington|,|DC|,|20002|,||,|Z4100|,03/13/2003,50178.0,|C00027466|,|R|,|C00027466|,|RP|,|Z5100|,|N|,|Q1 |,|P|,|23990688526|,|24K|,|Z4100|,|PAC  |
|2004|,|0116037|,|C00382036|,|US Telecom Assn|,|United States Telecom Association|,|Washington|,|DC|,|20005|,||,|C4100|,03/14/2003,1000.0,|C00382036|,|R|,|C00000984|,|PI|,|J2200|,|N|,|M4 |,|P|,|23990787308|,|18K|,|C4100|,|PAC  |
|2004|,|2766820|,|C00383232|,|Clear Channel Communications|,|Clear Channel Communications Inc.|,|San Antonio|,|TX|,|78209|,||,|C2100|,10/19/2004,5000.0,|C00383232|,,|C00279216|,|PI|,|J1200|,|N|,|30G|,|P|,|24991402573|,|18K|,|C2100|,|PAC  |
|2004|,|2766821|,|C00383232|,|DTE Energy|,|DTE Energy Co. PAC - Federal|,|Detroit|,|MI|,|48226|,||,|E1620|,10/27/2004,1000.0,|C00383232|,,|C00081547|,|PI|,|J1200|,|N|,|30G|,|P|,|24991402574|,|18K|,|E1620|,|PAC  |
|2004|,|2766822|,|C00383232|,|Friends of Congressman George Miller|,|Friends of Congressman George Mill|,|Concord|,|CA|,|94524|,||,|Z1200|,10/26/2004,5000.0,|C00383232|,,|C00026757|,|PI|,|J1200|,|N|,|30G|,|P|,|24991402574|,|18K|,|Z1200|,|PAC  |
|2004|,|2693842|,|C00383307|,|WR Berkley Corp|,|Volunteer PAC|,|Nashville|,|TN|,|37215|,||,|F3400|,10/15/2004,2000.0,|C00341743|,|R|,|C00341743|,|PI|,|J2200|,|N|,|30G|,|P|,|24981451045|,|24K|,|F3400|,|PAC  |
|2004|,|2693843|,|C00383307|,|WR Berkley Corp|,|Leadership PAC 2004|,|Alexandria|,|VA|,|22314|,||,|F3400|,10/15/2004,2000.0,|C00314641|,|R|,|C00314641|,|PI|,|J2200|,|N|,|30G|,|P|,|24981451045|,|24K|,|F3400|,|PAC  |
|2004|,|2693844|,|C00383307|,|WR Berkley Corp|,|Back America's Conversatives PAC (|,|Alexandria|,|VA|,|22314|,||,|F3400|,10/15/2004,2000.0,|C00377028|,|R|,|C00377028|,|PI|,|J2200|,|N|,|30G|,|P|,|24981451046|,|24K|,|F3400|,|PAC  |
|2004|,|1894093|,|C00383349|,|Asian American Political Empowerment Cmt|,||,||,|  |,|     |,||,|J7500|,04/30/2004,3000.0,|C00382499|,|D|,|C00382499|,|DP|,|Z5200|,|N|,|Q2 |,|P|,|24038472713|,|24K|,|J7500|,|PAC  |
|2004|,|0982086|,|C00383356|,|Corning Inc|,||,||,|  |,|     |,||,|C4000|,08/01/2003,2500.0,|C00383356|,,|C00033589|,|PB|,|C4000|,|N|,|YE |,|P|,|24038294570|,|18K|,|C4000|,|PAC  |
|2004|,|2753636|,|C00382036|,|Democracy Believers PAC|,|Team Texas Joint Fundraising Commi|,|Alexandria|,|VA|,|22320|,||,|J2200|,06/02/2004,5000.0,|C00400614|,|R|,|C00400614|,|RP|,|Z4100|,|A|,|M7 |,|P|,|24971948541|,|24K|,|J2200|,|PAC  |
|2004|,|1293553|,|C00383653|,|Peter Deutsch for Congress|,|Peter Deutsch for Senate|,|Hollywood|,|FL|,|33081|,||,|Z1200|,03/22/2004,2000.0,|N00000245|,|D|,|C00267708|,|DL|,|Z1200|,|N|,|M4 |,|P|,|24991175422|,|18K|,|Z1200|,|PAC  |
|2004|,|1293554|,|C00383653|,|Schakowsky for Congress|,|Schakowsky for Congress|,|Evanston|,|IL|,|60204|,||,|Z1200|,03/17/2004,1000.0,|N00000245|,|D|,|C00327023|,|DL|,|Z1200|,|N|,|M4 |,|P|,|24991175423|,|18K|,|Z1200|,|PAC  |
|2004|,|1293555|,|C00383653|,|Steve Israel for Congress|,|Steve Israel For Congress Committe|,|Deer Park|,|NY|,|11729|,||,|Z1200|,03/04/2004,1000.0,|N00000245|,|D|,|C00358952|,|DL|,|Z1200|,|N|,|M4 |,|P|,|24991175424|,|18K|,|Z1200|,|PAC  |
|2004|,|1293556|,|C00383653|,|John Kerry for President|,|John Kerry for President Inc|,|Washington|,|DC|,|20002|,||,|Z1200|,03/10/2004,46805.0,|N00000245|,|D|,|C00385070|,|DL|,|Z1200|,|N|,|M4 |,|P|,|24991176442|,|24G|,|Z1200|,|PAC  |
|2004|,|1498284|,|C00383653|,|Andrews for Congress Cmte|,|Andrews for Congress Committee|,|Haddon Heights|,|  |,|08035|,||,|Z1200|,04/15/2004,2000.0,|N00000245|,|D|,|C00243428|,|DL|,|Z1200|,|A|,|M5 |,|P|,|24961473952|,|18K|,|Z1200|,|PAC  |
|2004|,|1498285|,|C00383653|,|Friends of Kent Conrad|,|Friends of Kent Conrad|,|Dickinson|,|ND|,|58602|,||,|Z1200|,04/19/2004,1000.0,|N00000245|,|D|,|C00202754|,|DL|,|Z1200|,|A|,|M5 |,|P|,|24961473966|,|18K|,|Z1200|,|PAC  |
|2004|,|1498286|,|C00383653|,|Friends of Lane Evans Cmte|,|Friends of Lane Evans Committee|,|Rock Island|,|IL|,|61204|,||,|Z1200|,04/14/2004,1000.0,|N00000245|,|D|,|C00146779|,|DL|,|Z1200|,|N|,|M5 |,|P|,|24961473967|,|18K|,|Z1200|,|PAC  |
|2004|,|0852627|,|C00383653|,|Friends of David Bishop|,|Friends of David Bishop|,|Lindenhurst|,|NY|,|11757|,||,|Z1200|,12/31/2003,350.0,|N00000245|,|D|,|C00356675|,|DL|,|Z1200|,|N|,|YE |,|P|,|24990441290|,|18K|,|Z1200|,|PAC  |
|2004|,|1120064|,|C00383653|,|Adam Smith for Congress|,|Adam Smith for Congress Committee|,|Federal Way|,|WA|,|98093|,||,|Z1200|,02/03/2004,2000.0,|N00000245|,|D|,|C00304709|,|DL|,|Z1200|,|N|,|M3 |,|P|,|24990856606|,|18K|,|Z1200|,|PAC  |
|2004|,|1120065|,|C00383653|,|Berman for Congress|,|Berman For Congress|,|Beverly Hills|,|CA|,|90211|,||,|Z1200|,02/27/2004,1000.0,|N00000245|,|D|,|C00147686|,|DL|,|Z1200|,|N|,|M3 |,|P|,|24990856606|,|18K|,|Z1200|,|PAC  |
|2004|,|1120066|,|C00383653|,|Bryan Kennedy for Congress|,|Bryan Kennedy for Congress|,|Glendale|,|WI|,|53209|,||,|Z1200|,02/18/2004,250.0,|N00000245|,|D|,|C00385682|,|DL|,|Z1200|,|N|,|M3 |,|P|,|24990856606|,|18K|,|Z1200|,|PAC  |
|2004|,|1561485|,|C00383653|,|Linda Jacobsen for Congress|,|Linda Jacobsen for Congress|,|Cottleville|,|MO|,|63338|,||,|Z1200|,05/27/2004,100.0,|N00000245|,|D|,|C00397281|,|DL|,|Z1200|,|N|,|M6 |,|P|,|24981240302|,|18K|,|Z1200|,|PAC  |
|2004|,|1561486|,|C00383653|,|Marion Berry for Congress|,|Marion Berry for Congress|,|Jonesboro|,|AR|,|72403|,||,|Z1200|,05/27/2004,1000.0,|N00000245|,|D|,|C00313734|,|DL|,|Z1200|,|N|,|M6 |,|P|,|24981240302|,|18K|,|Z1200|,|PAC  |
|2004|,|1561488|,|C00383653|,|Stephanie Tubbs Jones for US Congress|,|Stephanie Tubbs Jones For US Congr|,|University Heights|,|OH|,|44118|,||,|Z1200|,05/25/2004,2000.0,|N00000245|,|D|,|C00334151|,|DL|,|Z1200|,|N|,|M6 |,|P|,|24981240306|,|18K|,|Z1200|,|PAC  |
|2004|,|0355692|,|C00383422|,|Johnson & Johnson|,|JOHNSON & JOHNSON EMPLOYEES' GOOD|,|NEW BRUNSWICK|,|NJ|,|08933|,||,|H4000|,03/26/2003,5000.0,|C00383422|,|R|,|C00010983|,|PI|,|J2200|,|N|,|MY |,|P|,|23991558691|,|18K|,|H4000|,|PAC  |
|2004|,|1167118|,|C00383422|,|Johnson & Johnson|,|JOHNSON & JOHNSON EMPLOYEES' GOOD|,|NEW BRUNSWICK|,|NJ|,|08933|,||,|H4000|,03/02/2004,5000.0,|C00383422|,|R|,|C00010983|,|PI|,|J2200|,|N|,|Q1 |,|P|,|24990977867|,|18K|,|H4000|,|PAC  |
|2004|,|1613441|,|C00383422|,|GlaxoSmithKline|,|SMITHKLINE BEECHAM CORPORATION POL|,|Research Triangle|,|NC|,|27709|,||,|H4300|,06/09/2004,5000.0,|C00383422|,|R|,|C00199703|,|PI|,|J2200|,|N|,|Q2 |,|P|,|24971311730|,|18K|,|H4300|,|PAC  |
|2004|,|2764322|,|C00383422|,|Springfield Republican Event 2004|,|SPRINGFIELD REPUBLICAN EVENT 2004|,|WASHINGTON|,|DC|,|20005|,||,|Z4100|,10/26/2004,4000.0,|C00383422|,|R|,|C00405126|,|PI|,|J2200|,|N|,|30G|,|P|,|24981535396|,|18G|,|Z4100|,|PAC  |
|2004|,|1185904|,|C00383489|,|Public Service Enterprise Group|,|Glacier PAC|,|Washington|,|DC|,|20006|,||,|E1620|,02/10/2004,1000.0,|C00353953|,|D|,|C00353953|,|PI|,|J2100|,|N|,|Q1 |,|P|,|24991005419|,|24K|,|E1620|,|PAC  |
|2004|,|0154874|,|C00382036|,|Cuba Libre PAC|,|Cuba Libre PAC|,|Miami|,|FL|,|33142|,||,|J5200|,04/17/2003,1000.0,|C00382036|,|R|,|C00382291|,|PI|,|J2200|,|N|,|M5 |,|P|,|23990947520|,|18K|,|J5200|,|PAC  |
|2004|,|0335339|,|C00382036|,|Florida Power & Light|,|FPL PAC|,|Juno Beach|,|FL|,|33408|,||,|E1600|,06/04/2003,1500.0,|C00382036|,|R|,|C00064774|,|PI|,|J2200|,|N|,|M7 |,|P|,|23991471795|,|18K|,|E1600|,|PAC  |
|2004|,|0419612|,|C00382036|,|Aventis Pasteur USA|,|Aventis Pasteur Inc. PAC|,|Swiftwater|,|PA|,|18370|,||,|H4300|,07/15/2003,2000.0,|C00382036|,|R|,|C00215236|,|PI|,|J2200|,|N|,|M8 |,|P|,|23991719786|,|18K|,|H4300|,|PAC  |
|2004|,|0419613|,|C00382036|,|Chicago Mercantile Exchange|,|Chicago Mercantile Exchange PAC (C|,|Chicago|,|IL|,|60606|,||,|F2200|,07/15/2003,1000.0,|C00382036|,|R|,|C00076299|,|PI|,|J2200|,|N|,|M8 |,|P|,|23991719786|,|18K|,|F2200|,|PAC  |
|2004|,|0419614|,|C00382036|,|Johnson & Johnson|,|Johnson & Johnson Employees PAC|,|New Brunswick|,|NJ|,|08933|,||,|H4000|,07/25/2003,1000.0,|C00382036|,|R|,|C00010983|,|PI|,|J2200|,|N|,|M8 |,|P|,|23991719786|,|18K|,|H4000|,|PAC  |
|2004|,|0484921|,|C00382036|,|Florida Power & Light|,|FPL PAC|,|Juno Beach|,|FL|,|33408|,||,|E1600|,08/14/2003,1000.0,|C00382036|,|R|,|C00064774|,|PI|,|J2200|,|N|,|M9 |,|P|,|23991930994|,|18K|,|E1600|,|PAC  |
|2004|,|2431078|,|C00382036|,|PBS&J|,|PBS&J Employee Political Action Co|,|Miami|,|FL|,|33172|,||,|B4000|,09/17/2004,5000.0,|C00382036|,|R|,|C00385989|,|PI|,|J2200|,|N|,|M10|,|P|,|24971841183|,|18K|,|B4000|,|PAC  |
|2004|,|2997610|,|C00382036|,|Democracy Believers PAC|,|Univision Radio-WAQI|,|Coral Gables|,|FL|,|33134|,||,|J2200|,10/25/2004,97.0,|C00391110|,|D|,|C00391110|,|DP|,|Z4200|,|A|,|30G|,|P|,|25990461527|,|24Z|,|J2200|,|PAC  |
|2004|,|2997612|,|C00382036|,|Democracy Believers PAC|,|Univision Radio-WAQI|,|Coral Gables|,|FL|,|33134|,||,|J2200|,10/26/2004,125.0,|C00391110|,|D|,|C00391110|,|DP|,|Z4200|,|A|,|30G|,|P|,|25990461528|,|24Z|,|J2200|,|PAC  |
|2004|,|2997620|,|C00382036|,|Democracy Believers PAC|,|Univision Radio-WAQI|,|Coral Gables|,|FL|,|33134|,||,|J2200|,10/28/2004,250.0,|C00391110|,|D|,|C00391110|,|DP|,|Z4200|,|A|,|30G|,|P|,|25990461531|,|24Z|,|J2200|,|PAC  |
|2004|,|2798375|,|C00382036|,|Chicago Mercantile Exchange|,|Chicago Mercantile Exchange PAC (C|,|Chicago|,|IL|,|60606|,||,|F2200|,10/22/2004,1000.0,|C00382036|,|R|,|C00076299|,|PI|,|J2200|,|N|,|30G|,|P|,|24981605065|,|18K|,|F2200|,|PAC  |
|2004|,|0489995|,|C00380204|,|MedCath Inc|,|AMERICANS FOR A REPUBLICAN MAJORIT|,|WASHINGTON|,|DC|,|20036|,||,|H2000|,08/29/2003,2500.0,|C00292946|,|R|,|C00292946|,|PI|,|J2200|,|N|,|M9 |,|P|,|23991969092|,|24K|,|H2000|,|PAC  |
|2004|,|0489996|,|C00380204|,|MedCath Inc|,|BAYOU LEADER POLITICAL ACTION COMM|,|ALEXANDRIA|,|VA|,|22301|,||,|H2000|,08/19/2003,1000.0,|C00330464|,|R|,|C00330464|,|PI|,|J2200|,|N|,|M9 |,|P|,|23991969092|,|24K|,|H2000|,|PAC  |
|2004|,|1435639|,|C00380204|,|MedCath Inc|,|PROMOTING REPUBLICANS YOU CAN ELEC|,|Washington|,|DC|,|20036|,||,|H2000|,04/12/2004,1000.0,|C00330068|,|R|,|C00330068|,|PI|,|J2200|,|N|,|M5 |,|G|,|24971241172|,|24K|,|H2000|,|PAC  |
|2004|,|1779905|,|C00380204|,|MedCath Inc|,|AMERICANS FOR A REPUBLICAN MAJORIT|,|WASHINGTON|,|DC|,|20036|,||,|H2000|,06/25/2004,5000.0,|C00292946|,|R|,|C00292946|,|PI|,|J2200|,|N|,|M7 |,|P|,|24971351351|,|24K|,|H2000|,|PAC  |
|2004|,|0751266|,|C00382119|,|Alcon Laboratories|,|DEM CONGR CAMPAIGN COMMITTEE|,|Washington|,|DC|,|20003|,||,|H4000|,08/08/2003,500.0,|C00000935|,|D|,|C00000935|,|DP|,|Z5200|,|N|,|YE |,|P|,|24990053795|,|24K|,|H4000|,|PAC  |
|2004|,|0350764|,|C00382143|,|American Society of Assn Executives|,|AMERICAN SOCIETY OF ASSOCIATION EX|,|WASHINGTON|,|DC|,|20005|,||,|G0000|,02/07/2003,1000.0,|C00382143|,,|C00041566|,|PI|,|X4110|,|N|,|MY |,|P|,|23991539758|,|18K|,|G0000|,|PAC  |
|2004|,|0335609|,|C00381541|,|Clark Consulting|,|SENATE MAJORITY FUND|,|Phoenix|,|AZ|,|85064|,||,|G5270|,06/02/2003,1000.0,|C00368431|,|R|,|C00368431|,|PI|,|J2200|,|N|,|M7 |,|P|,|23991472146|,|24K|,|G5270|,|PAC  |
|2004|,|0698450|,|C00381541|,|Clark Consulting|,|HELP AMERICA'S LEADERS POLITICAL A|,|Washington|,|DC|,|20036|,||,|G5270|,10/03/2003,1500.0,|C00376038|,|R|,|C00376038|,|PI|,|J2200|,|N|,|M11|,|P|,|23992305099|,|24K|,|G5270|,|PAC  |
